Name|password|StoreNumber|id|TransactionNumber|TransactionTypeCode|UPCNumber|ItemNumber|ItemDiscountTotalAmount|CMPromotionNumber|DiscountTypeCode|ItemDepartmentNumber
2022/01/02|2022/01/02|705|2|14|S|5300006833|30984|.2|0|MD|007
2022/01/02|2022/01/02|705|2|14|S|88100600025|30718|1.49|0|MD|008
2022/01/02|2022/01/02|383|2|675|S|4087|48834|.34|0|MD|008
2022/01/02|2022/01/02|591|3|121|S|21387022428|13870|12.15|0|MD|003
2022/01/02|2022/01/02|591|3|121|S|81204900640|30718|1.49|0|MD|008
2022/01/02|2022/01/02|591|3|121|S|4400006923|64479|1.2|102001036|CM|001
2022/01/02|2022/01/02|591|3|121|S|1380020031|17778|1|102001032|CM|006
2022/01/02|2022/01/02|591|3|121|S|4151211052|51191|.49|0|MD|001
2022/01/02|2022/01/02|591|3|121|S|81204900440|53646|1.49|0|MD|008
2022/01/02|2022/01/02|591|3|121|S|4151212905|33908|.49|0|MD|001
2022/01/02|2022/01/02|591|3|121|S|1380058189|15605|1|102001032|CM|006
2022/01/02|2022/01/02|591|3|121|S|4151201415|48523|.5|0|MD|007
2022/01/02|2022/01/02|591|3|121|S|1380020031|17778|2.5|0|MD|006
2022/01/02|2022/01/02|591|3|121|S|4151211050|51194|.49|0|MD|001
2022/01/02|2022/01/02|591|3|121|S|1380058189|15605|2.5|0|MD|006
2022/01/02|2022/01/02|591|3|121|S|4087|48834|.74|0|MD|008
2022/01/02|2022/01/02|591|3|121|S|4400006925|64403|1.2|102001036|CM|001
2022/01/02|2022/01/02|522|6|199|S|4552|12785|1.66|0|MD|008
2022/01/02|2022/01/02|477|1|48|S|88100600109|53648|1.49|0|MD|008
2022/01/02|2022/01/02|477|1|48|S|81204900640|30718|1.49|0|MD|008
2022/01/02|2022/01/02|445|4|204|S|81204900440|53646|1.49|0|MD|008
2022/01/02|2022/01/02|445|4|204|S|5050000075|45648|2|0|MD|007
2022/01/02|2022/01/02|445|4|204|S|1590006000|18465|.4|0|MD|003
2022/01/02|2022/01/02|453|3|230|S|1600049448|43436|1|0|MD|001
2022/01/02|2022/01/02|441|3|117|S|2840015443|21634|1|0|MD|001
2022/01/02|2022/01/02|441|3|117|S|4812122903|9545|1|0|MD|001
2022/01/02|2022/01/02|721|3|32|S|182891|18289|19.81|0|MD|008
2022/01/02|2022/01/02|319|5|166|S|7084781016|80517|.9|0|MD|002
2022/01/02|2022/01/02|345|4|47|S|23052681179|30526|3.54|0|MD|003
2022/01/02|2022/01/02|306|5|81|S|4087|48834|1.27|0|MD|008
2022/01/02|2022/01/02|306|5|81|S|21371232418|13712|7.26|0|MD|003
2022/01/02|2022/01/02|306|5|81|S|4150111028|30298|.6|0|MD|001
2022/01/02|2022/01/02|306|5|81|S|78735910018|54341|1|0|MD|008
2022/01/02|2022/01/02|306|5|81|S|21371771453|13717|.97|0|MD|003
2022/01/02|2022/01/02|306|5|81|S|83010800041|33072|.6|0|MD|001
2022/01/02|2022/01/02|398|7|323|S|4087|48834|2.69|0|MD|008
2022/01/02|2022/01/02|913|2|281|S|4300000050|56460|1.5|0|MD|002
2022/01/02|2022/01/02|929|5|201|S|4151210328|41906|.5|0|MD|006
2022/01/02|2022/01/02|929|5|201|S|4800126584|81090|.4|0|MD|001
2022/01/02|2022/01/02|919|1|182|S|78616201000|20096|8|0|QD|002
2022/01/02|2022/01/02|519|3|10|S|4659|54025|.4|0|MD|008
2022/01/02|2022/01/02|519|3|10|S|7318300007|45789|3|0|MD|007
2022/01/02|2022/01/02|441|2|278|S|4087|48834|.65|0|MD|008
2022/01/02|2022/01/02|742|4|152|S|812|81|.05|77|CM|002
2022/01/02|2022/01/02|742|4|152|S|2840004144|41735|.23|77|CM|001
2022/01/02|2022/01/02|363|3|278|S|5114137830|60410|.4|0|MD|010
2022/01/02|2022/01/02|363|3|278|S|2840058986|27214|.3|0|MD|001
2022/01/02|2022/01/02|591|4|21|S|1530044036|24853|.3|0|MD|001
2022/01/02|2022/01/02|591|4|21|S|21387082248|13870|11.25|0|MD|003
2022/01/02|2022/01/02|591|4|21|S|4151207659|38131|.1|0|MD|007
2022/01/02|2022/01/02|591|4|21|S|88491201428|62026|1|0|MD|001
2022/01/02|2022/01/02|420|2|165|S|88491201428|62026|1|0|MD|001
2022/01/02|2022/01/02|451|3|385|S|74236526402|62194|1|0|MD|007
2022/01/02|2022/01/02|705|5|118|S|7225001118|13175|.49|0|MD|001
2022/01/02|2022/01/02|705|5|118|S|5100012910|24380|.2|0|MD|001
2022/01/02|2022/01/02|705|5|118|S|4087|48834|.85|0|MD|008
2022/01/02|2022/01/02|330|3|120|S|81204900440|53646|4.47|0|MD|008
2022/01/02|2022/01/02|330|3|120|S|88100600109|53648|1.49|0|MD|008
2022/01/02|2022/01/02|330|3|120|S|88100600025|30718|2.98|0|MD|008
2022/01/02|2022/01/02|508|4|491|S|31254738664|30151|2.4|0|CM|012
2022/01/02|2022/01/02|508|4|491|S|7432309115|23415|.2|0|MD|001
2022/01/02|2022/01/02|913|5|127|S|2800015785|24095|.3|0|MD|001
2022/01/02|2022/01/02|913|5|127|S|4151212924|76719|.2|0|MD|001
2022/01/02|2022/01/02|371|3|296|S|1380065455|23851|1.02|0|MD|006
2022/01/02|2022/01/02|925|1|480|S|8048017252|59925|1.5|0|MD|009
2022/01/02|2022/01/02|789|5|135|S|88100600109|53648|1.49|0|MD|008
2022/01/02|2022/01/02|789|5|135|S|88100600025|30718|1.49|0|MD|008
2022/01/02|2022/01/02|789|5|54|S|88100600025|30718|2.98|0|MD|008
2022/01/02|2022/01/02|789|5|54|S|1630016821|46147|.49|0|MD|007
2022/01/02|2022/01/02|405|5|42|S|7294535066|96651|.3|0|MD|001
2022/01/02|2022/01/02|405|5|42|S|7143000034|83464|2.25|0|CM|008
2022/01/02|2022/01/02|405|5|42|S|4087|48834|.23|0|MD|008
2022/01/02|2022/01/02|405|5|42|S|8500001732|45760|1|0|MD|009
2022/01/02|2022/01/02|405|5|42|S|4151207659|38131|.1|0|MD|007
2022/01/02|2022/01/02|325|3|207|S|3700076360|88888|.2|0|MD|010
2022/01/02|2022/01/02|325|3|207|S|3700063962|35936|2|0|MD|010
2022/01/02|2022/01/02|423|4|183|S|1380019020|47141|.5|0|MD|006
2022/01/02|2022/01/02|803|5|255|S|2068500316|19813|.99|0|MD|001
2022/01/02|2022/01/02|803|5|255|S|7218063245|24220|.4|0|MD|006
2022/01/02|2022/01/02|519|1|171|S|34641|3464|8.5|0|CR|008
2022/01/02|2022/01/02|519|1|171|S|34641|3464|9|0|MD|008
2022/01/02|2022/01/02|470|5|309|S|4151217121|36777|.5|0|MD|008
2022/01/02|2022/01/02|451|4|148|S|2840031040|39877|.5|0|MD|001
2022/01/02|2022/01/02|725|4|317|S|8500003151|84942|1|0|MD|013
2022/01/02|2022/01/02|725|4|317|S|78113871011|66139|.3|0|MD|001
2022/01/02|2022/01/02|737|4|123|S|8974476549|91142|4|0|MD|009
2022/01/02|2022/01/02|470|5|320|S|89899900690|58687|1.7|0|MD|002
2022/01/02|2022/01/02|593|4|354|S|81153801085|19630|.3|0|MD|009
2022/01/02|2022/01/02|719|3|188|S|2840051779|24751|1.5|102001033|CM|001
2022/01/02|2022/01/02|719|3|188|S|2840031041|48455|.5|0|MD|001
2022/01/02|2022/01/02|719|3|188|S|2840031041|48455|1.5|102001033|CM|001
2022/01/02|2022/01/02|719|3|188|S|2840051779|24751|.5|0|MD|001
2022/01/02|2022/01/02|448|3|455|S|7225001119|13169|.49|0|MD|001
2022/01/02|2022/01/02|448|3|455|S|8500002310|30244|1.5|0|MD|009
2022/01/02|2022/01/02|940|2|325|S|1380055239|33999|.4|0|MD|006
2022/01/02|2022/01/02|940|2|325|S|7146430650|99169|.3|0|MD|008
2022/01/02|2022/01/02|940|2|325|S|1630016821|46147|.98|0|MD|007
2022/01/02|2022/01/02|711|1|47|S|1590012271|65304|.6|0|MD|007
2022/01/02|2022/01/02|315|3|99|S|4087|48834|1.79|0|MD|008
2022/01/02|2022/01/02|315|3|99|S|4087|48836|1.79|0|MD|008
2022/01/02|2022/01/02|315|3|99|S|4087|48837|1.79|0|MD|008
